customer_id,arrival_time,service_time,service_start,departure_time,waiting_time,time_in_system,queue_length_on_arrival
243,445.557096,2.323709,465.144844,467.468552,19.587747,21.911456,5
244,446.146785,1.899992,467.468552,469.368545,21.321767,23.221759,5
245,446.283408,0.744823,469.368545,470.113368,23.085137,23.82996,6
246,448.253961,0.388311,470.113368,470.501679,21.859407,22.247717,5
247,450.850086,0.292721,470.501679,470.7944,19.651592,19.944313,6
248,452.233474,0.277486,470.7944,471.071885,18.560926,18.838412,7
249,452.807746,3.991826,471.071885,475.063711,18.264139,22.255964,8
250,456.771767,0.277874,475.063711,475.341585,18.291944,18.569817,8
251,459.809464,0.97753,475.341585,476.319115,15.53212,16.50965,9
252,460.030317,1.160516,476.319115,477.47963,16.288798,17.449314,10
253,461.32296,2.241153,477.47963,479.720784,16.15667,18.397824,11
254,462.271655,2.094698,479.720784,481.815481,17.449129,19.543826,12
255,462.656643,0.647533,481.815481,482.463014,19.158838,19.806371,13
256,463.482607,2.477457,482.463014,484.940472,18.980408,21.457865,13
257,463.932338,4.43038,484.940472,489.370852,21.008133,25.438514,14
258,469.727978,2.534282,489.370852,491.905134,19.642874,22.177156,12
259,471.605997,0.784476,491.905134,492.689609,20.299137,21.083613,9
260,471.8493,0.338275,492.689609,493.027884,20.840309,21.178584,10
261,475.506972,3.344476,493.027884,496.372361,17.520912,20.865389,9
262,476.843784,0.714679,496.372361,497.087039,19.528576,20.243255,9
263,477.108058,2.553001,497.087039,499.640041,19.978981,22.531982,10
264,478.613035,0.079004,499.640041,499.719044,21.027005,21.106009,10
265,480.637961,1.846599,499.719044,501.565644,19.081083,20.927682,10
266,481.859189,0.151768,501.565644,501.717412,19.706454,19.858223,10
267,482.03637,3.047898,501.717412,504.76531,19.681042,22.72894,11
268,483.30265,0.511989,504.76531,505.277298,21.46266,21.974649,11
269,484.142266,0.307725,505.277298,505.585024,21.135032,21.442757,12
270,484.46072,0.934277,505.585024,506.5193,21.124303,22.05858,13
271,485.024057,0.031655,506.5193,506.550955,21.495243,21.526898,13
272,485.608203,0.188155,506.550955,506.73911,20.942752,21.130907,14
273,492.611768,0.200253,506.73911,506.939363,14.127343,14.327595,13
274,492.902707,0.527179,506.939363,507.466542,14.036656,14.563835,13
275,493.103896,0.541734,507.466542,508.008276,14.362646,14.904381,13
276,494.136658,1.515514,508.008276,509.52379,13.871618,15.387132,14
277,496.714306,0.896283,509.52379,510.420073,12.809485,13.705767,14
278,496.906335,2.884384,510.420073,513.304457,13.513738,16.398122,15
279,496.936775,1.893389,513.304457,515.197846,16.367682,18.261071,16
280,498.051034,0.857703,515.197846,516.055548,17.146811,18.004514,16
281,498.228995,2.06058,516.055548,518.116128,17.826554,19.887133,17
282,498.914396,0.221662,518.116128,518.337789,19.201732,19.423394,18
283,500.367279,0.658816,518.337789,518.996605,17.970511,18.629326,17
284,503.616994,0.586366,518.996605,519.582971,15.379611,15.965978,16
285,506.597793,0.159219,519.582971,519.742191,12.985178,13.144397,12
286,510.770709,1.492402,519.742191,521.234592,8.971482,10.463883,7
287,511.110145,2.642735,521.234592,523.877327,10.124447,12.767182,8
288,512.014146,0.742729,523.877327,524.620056,11.863181,12.60591,9
289,512.226436,0.132742,524.620056,524.752797,12.39362,12.526362,10
290,515.633714,2.460383,524.752797,527.21318,9.119084,11.579466,9
291,517.178698,0.979274,527.21318,528.192454,10.034482,11.013756,9
292,518.975653,0.136544,528.192454,528.328998,9.216801,9.353345,8
293,519.431647,1.598557,528.328998,529.927555,8.897351,10.495908,8
294,521.466511,0.818859,529.927555,530.746414,8.461044,9.279903,6
295,522.867566,0.810007,530.746414,531.556421,7.878848,8.688856,7
296,525.181177,2.404713,531.556421,533.961134,6.375244,8.779957,5
297,525.592105,2.424301,533.961134,536.385435,8.369029,10.79333,6
298,529.407309,1.533223,536.385435,537.918658,6.978126,8.511348,4
299,529.857359,0.717884,537.918658,538.636541,8.061299,8.779183,5
300,531.024904,1.024402,538.636541,539.660943,7.611637,8.636039,4
301,535.369925,0.11867,539.660943,539.779613,4.291018,4.409689,3
302,541.186701,0.219253,541.186701,541.405953,0.0,0.219253,0
303,543.020922,1.067933,543.020922,544.088855,0.0,1.067933,0
304,543.117524,0.107743,544.088855,544.196599,0.971331,1.079075,0
305,544.405516,0.215715,544.405516,544.621231,0.0,0.215715,0
306,546.228002,0.78833,546.228002,547.016332,0.0,0.78833,0
307,546.671759,0.572034,547.016332,547.588366,0.344572,0.916606,0
308,551.801634,0.360299,551.801634,552.161933,0.0,0.360299,0
309,554.424634,6.449999,554.424634,560.874632,0.0,6.449999,0
310,554.482032,0.136119,560.874632,561.010751,6.3926,6.528719,0
311,556.059959,0.046938,561.010751,561.057689,4.950793,4.99773,1
312,562.240051,2.029792,562.240051,564.269844,0.0,2.029792,0
313,566.524732,0.773445,566.524732,567.298177,0.0,0.773445,0
314,567.063723,0.123781,567.298177,567.421958,0.234454,0.358235,0
315,567.878206,0.641527,567.878206,568.519734,0.0,0.641527,0
316,568.152917,2.366193,568.519734,570.885926,0.366817,2.733009,0
317,568.514982,0.322149,570.885926,571.208075,2.370944,2.693093,1
318,570.22552,2.972115,571.208075,574.18019,0.982556,3.954671,1
319,571.319679,0.285557,574.18019,574.465747,2.860511,3.146068,0
320,573.141658,0.200354,574.465747,574.666102,1.324089,1.524443,1
321,573.951237,3.031617,574.666102,577.697719,0.714865,3.746482,2
322,575.069453,3.109348,577.697719,580.807066,2.628265,5.737613,0
323,575.080615,2.737658,580.807066,583.544724,5.726451,8.464109,1
324,575.265351,0.717781,583.544724,584.262505,8.279373,8.997154,2
325,576.501246,0.31188,584.262505,584.574385,7.761259,8.073139,3
326,577.982743,3.508119,584.574385,588.082504,6.591642,10.099761,3
327,579.767537,3.933891,588.082504,592.016395,8.314967,12.248858,4
328,580.129838,0.932423,592.016395,592.948818,11.886558,12.818981,5
329,582.890756,0.242103,592.948818,593.190922,10.058063,10.300166,5
330,585.560065,3.201936,593.190922,596.392858,7.630857,10.832793,3
331,588.231216,2.89562,596.392858,599.288478,8.161642,11.057262,3
332,591.543838,1.887417,599.288478,601.175895,7.74464,9.632057,4
333,598.004303,0.259417,601.175895,601.435312,3.171592,3.431009,1
334,600.071082,1.102261,601.435312,602.537573,1.36423,2.466491,1
335,604.89996,0.133499,604.89996,605.033459,0.0,0.133499,0
336,605.466216,4.212466,605.466216,609.678682,0.0,4.212466,0
337,605.799285,4.046483,609.678682,613.725165,3.879396,7.925879,0
338,606.765959,0.399085,613.725165,614.124249,6.959205,7.35829,1
339,608.721297,0.419369,614.124249,614.543619,5.402952,5.822322,2
340,608.883019,5.950028,614.543619,620.493647,5.6606,11.610628,3
341,609.680813,0.831993,620.493647,621.32564,10.812834,11.644827,3
342,609.790452,0.438855,621.32564,621.764495,11.535189,11.974044,4
343,611.338817,0.545355,621.764495,622.30985,10.425678,10.971033,5
344,612.685749,0.062116,622.30985,622.371966,9.624101,9.686217,6
345,616.361086,0.60085,622.371966,622.972816,6.01088,6.61173,4
346,617.867828,1.733502,622.972816,624.706318,5.104988,6.83849,5
347,620.549153,0.4472,624.706318,625.153519,4.157165,4.604366,5
348,621.416033,0.905298,625.153519,626.058817,3.737486,4.642785,5
349,622.257841,0.079361,626.058817,626.138178,3.800976,3.880337,5
350,628.475941,0.701185,628.475941,629.177126,0.0,0.701185,0
351,629.526011,0.139958,629.526011,629.66597,0.0,0.139958,0
352,635.096257,0.75317,635.096257,635.849427,0.0,0.75317,0
353,636.716731,0.379869,636.716731,637.0966,0.0,0.379869,0
354,637.34306,0.39409,637.34306,637.73715,0.0,0.39409,0
355,639.569618,0.563042,639.569618,640.132659,0.0,0.563042,0
356,639.970052,2.65863,640.132659,642.791289,0.162607,2.821237,0
357,646.264521,1.166854,646.264521,647.431375,0.0,1.166854,0
358,649.823189,2.129661,649.823189,651.95285,0.0,2.129661,0
359,650.18447,4.350499,651.95285,656.303349,1.76838,6.118879,0
360,651.072027,2.177936,656.303349,658.481285,5.231322,7.409258,1
361,653.464164,3.205716,658.481285,661.687001,5.017121,8.222838,1
362,654.183149,0.384525,661.687001,662.071527,7.503852,7.888378,2
363,656.517673,0.131794,662.071527,662.203321,5.553854,5.685648,2
364,657.156319,3.121174,662.203321,665.324496,5.047002,8.168176,3
365,660.535123,1.136819,665.324496,666.461315,4.789372,5.926192,3
366,662.261977,0.414093,666.461315,666.875408,4.199338,4.613431,1
367,665.917997,0.889931,666.875408,667.765339,0.957411,1.847342,1
368,667.221789,0.717311,667.765339,668.48265,0.54355,1.260861,0
369,667.861467,0.127985,668.48265,668.610635,0.621183,0.749168,0
370,670.354783,0.80705,670.354783,671.161832,0.0,0.80705,0
371,670.627982,0.291288,671.161832,671.453121,0.533851,0.825139,0
372,673.130707,3.582641,673.130707,676.713348,0.0,3.582641,0
373,673.547558,1.505144,676.713348,678.218493,3.16579,4.670935,0
374,674.053812,0.10777,678.218493,678.326262,4.164681,4.272451,1
375,677.288802,0.012753,678.326262,678.339015,1.03746,1.050213,1
376,677.373867,2.280544,678.339015,680.619559,0.965148,3.245692,2
377,678.648699,4.49541,680.619559,685.11497,1.970861,6.466271,0
378,681.265843,0.772423,685.11497,685.887393,3.849127,4.62155,0
379,681.479664,0.042626,685.887393,685.930018,4.407728,4.450354,1
380,681.88299,0.289397,685.930018,686.219416,4.047028,4.336425,2
381,683.388849,6.515269,686.219416,692.734684,2.830567,9.345836,3
382,684.605787,0.949681,692.734684,693.684366,8.128898,9.078579,4
383,691.908249,0.797603,693.684366,694.481969,1.776116,2.57372,1
384,694.286308,0.843646,694.481969,695.325615,0.195661,1.039307,0
385,698.769178,0.234262,698.769178,699.00344,0.0,0.234262,0
386,698.943632,0.328607,699.00344,699.332047,0.059808,0.388416,0
387,700.415884,3.735855,700.415884,704.151739,0.0,3.735855,0
388,700.730788,0.003111,704.151739,704.15485,3.420951,3.424062,0
389,702.861028,0.127767,704.15485,704.282617,1.293822,1.42159,1
390,707.558175,1.826385,707.558175,709.38456,0.0,1.826385,0
391,711.798758,2.771077,711.798758,714.569835,0.0,2.771077,0
392,713.036561,0.169193,714.569835,714.739027,1.533274,1.702466,0
393,713.963098,0.348402,714.739027,715.087429,0.77593,1.124331,1
394,715.549206,1.360148,715.549206,716.909354,0.0,1.360148,0
395,720.460081,2.835161,720.460081,723.295242,0.0,2.835161,0
396,723.400192,0.504615,723.400192,723.904807,0.0,0.504615,0
397,724.460716,0.085997,724.460716,724.546713,0.0,0.085997,0
398,729.43591,2.201334,729.43591,731.637244,0.0,2.201334,0
399,730.849393,1.715167,731.637244,733.35241,0.787851,2.503018,0
400,732.586866,0.037412,733.35241,733.389822,0.765544,0.802956,0
401,733.109606,0.482063,733.389822,733.871885,0.280217,0.76228,1
402,734.926167,0.735014,734.926167,735.661181,0.0,0.735014,0
403,737.358062,1.032072,737.358062,738.390133,0.0,1.032072,0
404,743.576989,0.784063,743.576989,744.361052,0.0,0.784063,0
405,744.513589,2.019424,744.513589,746.533013,0.0,2.019424,0
406,744.572128,0.436285,746.533013,746.969298,1.960885,2.39717,0
407,745.585007,1.243486,746.969298,748.212784,1.384291,2.627778,1
408,747.828591,1.557619,748.212784,749.770403,0.384193,1.941812,0
