customer_index,cross_replication_avg_wait,smoothed_avg_wait
595,7.677414,7.507925
596,8.295132,7.576967
597,9.198066,7.693
598,9.079711,7.816043
599,8.329718,7.858111
600,8.791647,7.907585
601,9.002474,7.959295
602,8.881514,8.037033
603,8.579581,8.072247
604,8.468729,8.08858
605,8.518206,8.087961
606,9.391926,8.116908
607,8.458346,8.116786
608,9.031265,8.126664
609,9.30728,8.183612
610,9.587848,8.262969
611,8.071441,8.341694
612,7.892717,8.372789
613,6.811659,8.348033
614,7.258375,8.309206
615,6.777304,8.282436
616,6.982128,8.291164
617,6.848914,8.251688
618,6.190652,8.196595
619,6.298878,8.149237
620,4.667656,8.028847
621,5.199367,7.905016
622,5.392944,7.752811
623,5.324893,7.602619
624,6.063885,7.511985
625,6.387145,7.415805
626,5.713541,7.284248
627,5.757886,7.159303
628,6.053149,7.058245
629,5.560582,6.94192
630,4.596271,6.785042
631,4.622669,6.594272
632,3.73796,6.405456
633,4.149824,6.210199
634,3.98881,5.99746
635,4.579194,5.797114
636,5.320156,5.687062
637,5.91804,5.608075
638,4.607886,5.519924
639,5.247896,5.439505
640,6.263217,5.418942
641,6.479393,5.398832
642,7.037111,5.40636
643,6.897159,5.434621
644,6.927475,5.459764
645,7.166438,5.559716
646,6.935031,5.629142
647,5.87974,5.648614
648,7.143443,5.721356
649,6.972315,5.757693
650,6.456415,5.760464
651,5.379319,5.747095
652,5.538196,5.738308
653,5.58029,5.719393
654,6.228777,5.746121
655,7.276956,5.853348
656,7.295501,5.960262
657,6.373232,6.065673
658,6.359504,6.15406
659,7.369996,6.289307
660,8.236582,6.435603
661,7.842448,6.536494
662,7.664562,6.606355
663,7.705524,6.730261
664,7.229088,6.809508
665,6.590323,6.822593
666,7.162831,6.84993
667,7.525622,6.869471
668,7.410624,6.890009
669,7.257803,6.903222
670,7.342923,6.910282
671,9.170916,6.999717
672,8.39901,7.100488
673,7.7264,7.123806
674,7.638923,7.150471
675,8.083306,7.215546
676,9.000008,7.360374
677,8.364481,7.473425
678,7.874082,7.565177
679,8.511004,7.656466
680,8.987074,7.724871
681,8.243182,7.762778
682,7.691042,7.81549
683,7.540533,7.862731
684,6.542762,7.829642
685,6.266692,7.750847
686,5.701842,7.665222
687,6.688009,7.62616
688,7.382039,7.613221
689,6.771271,7.594908
690,7.007322,7.611588
691,7.128804,7.610227
692,7.835824,7.622635
693,7.858836,7.640563
694,7.682793,7.657563
695,7.02274,7.644756
696,7.384539,7.573301
697,6.947249,7.51523
698,5.726139,7.43522
699,4.875101,7.324667
700,4.885316,7.196747
701,4.887738,7.032256
702,5.219143,6.906443
703,4.972804,6.790392
704,4.377481,6.625051
705,4.892576,6.461271
706,4.832654,6.32485
707,4.738111,6.206733
708,5.158933,6.111469
709,5.3581,6.064082
710,5.97723,6.052504
711,5.516398,6.045086
712,5.739038,6.007127
713,5.922471,5.948744
714,5.57896,5.901052
715,5.55546,5.842977
716,5.427054,5.774907
717,5.618625,5.68622
718,5.451153,5.589912
719,4.897036,5.478482
720,4.887213,5.393061
721,4.912021,5.29416
722,4.40834,5.192604
723,4.501955,5.143636
724,5.979398,5.187808
725,5.063031,5.194917
726,5.060702,5.201836
727,5.938779,5.230621
728,5.763237,5.262238
729,6.378583,5.342282
730,7.103114,5.430704
731,6.881844,5.512672
732,6.771554,5.594009
733,8.174489,5.714631
734,8.282907,5.831624
735,7.978207,5.911663
736,7.312975,5.983526
737,7.332719,6.047273
738,8.718262,6.159105
739,8.794974,6.287745
740,7.909216,6.381896
741,8.370135,6.499619
742,8.458906,6.61323
743,8.819964,6.747982
744,8.971046,6.910943
745,8.997152,7.07534
746,8.943147,7.236585
747,9.495861,7.440086
748,8.736627,7.609473
749,8.604786,7.714489
750,8.605291,7.856179
751,8.913899,8.010307
752,9.745831,8.162589
753,8.897389,8.287955
754,9.182511,8.400112
755,9.121657,8.480854
756,9.386965,8.581059
757,9.670132,8.697002
758,9.159498,8.736402
759,9.20085,8.77312
760,9.305056,8.826194
761,8.917952,8.890393
762,8.113002,8.921604
763,8.47508,8.911877
764,8.447292,8.89797
765,8.675232,8.92861
766,9.960911,8.992241
767,11.521773,9.114756
768,10.649064,9.18792
769,9.24932,9.199051
770,8.892023,9.194846
771,8.726401,9.186176
772,8.316931,9.139019
773,9.234257,9.158924
774,9.729178,9.2039
775,9.411056,9.23613
776,9.034029,9.240936
777,8.526315,9.192155
778,8.116712,9.160928
779,7.492846,9.093341
780,7.898404,9.044411
781,8.336524,9.002394
782,8.001144,8.935634
783,6.914467,8.845833
784,7.177516,8.764899
785,6.694841,8.660491
786,6.381184,8.55902
787,6.567395,8.497196
788,6.421262,8.415043
789,5.9956,8.316975
790,6.616879,8.234641
791,7.247679,8.126112
792,7.486543,7.964703
793,8.949185,7.896708
794,8.35686,7.861009
795,8.196422,7.833185
796,7.227275,7.77322
797,7.16728,7.727234
798,7.501568,7.657926
799,7.29538,7.560575
800,7.1505,7.470152
801,7.176198,7.395839
802,6.465553,7.313409
803,7.4579,7.287056
804,6.988151,7.266868
805,6.557777,7.213243
806,5.62332,7.104715
807,5.480164,7.003876
808,6.426307,6.984349
809,6.033328,6.938582
810,6.495305,6.9306
811,6.903212,6.951482
812,5.974656,6.927772
813,6.700822,6.938954
814,6.55167,6.961197
815,6.747171,6.966409
816,6.971754,6.955372
817,5.834687,6.889298
818,4.675829,6.718363
819,4.488268,6.56362
820,2.982518,6.355064
821,3.59281,6.209685
822,3.747971,6.072913
823,2.662551,5.879352
824,2.789808,5.699129
825,2.881661,5.528376
826,3.33222,5.374617
827,2.540895,5.21763
828,2.311438,5.011772
829,2.222559,4.821148
830,2.20267,4.646944
831,1.863077,4.496534
832,2.108327,4.361661
833,0.937987,4.142128
834,0.912568,3.937297
835,1.95088,3.75552
836,2.842627,3.593097
837,3.698022,3.502032
838,3.959291,3.39237
839,2.827229,3.243393
840,2.521279,3.074357
841,2.375344,2.890501
842,2.469004,2.755873
843,3.434371,2.706215
844,3.078569,2.649827
845,3.181122,2.657771
846,3.179036,2.64122
847,3.599972,2.6353
848,3.834805,2.68219
849,3.254057,2.70076
850,2.325073,2.678497
851,2.095895,2.629044
852,2.244801,2.6172
853,2.835539,2.638164
854,3.884936,2.704659
855,5.097081,2.820436
856,6.032097,2.987196
857,5.600833,3.126897
858,4.646362,3.275232
859,4.227494,3.407829
860,4.518967,3.510552
861,4.625425,3.581864
862,5.621394,3.658799
863,5.681838,3.727701
864,5.623312,3.839544
865,6.534008,4.000053
866,6.127543,4.150141
867,4.75976,4.241771
868,4.498013,4.284317
869,4.605271,4.345385
870,4.15063,4.384166
871,4.816056,4.449646
872,6.239083,4.555211
873,6.738467,4.671357
874,6.441395,4.798851
875,7.911881,5.022323
876,9.021751,5.299357
877,9.473365,5.5885
878,9.51253,5.85558
879,9.180465,6.067401
880,8.897737,6.219427
881,10.831633,6.411408
882,10.346291,6.601227
883,10.177457,6.82247
884,10.882882,7.088686
885,10.421268,7.324778
886,10.445146,7.557567
887,9.808049,7.725033
888,9.16767,7.864466
889,8.344432,7.973311
890,7.974982,8.03095
891,8.111595,8.110312
892,8.144383,8.245697
893,7.820692,8.378604
894,8.094525,8.518175
895,7.383013,8.64747
896,8.724516,8.803808
897,8.76754,8.904947
898,9.861905,9.029884
899,10.729589,9.201412
900,11.219843,9.33373
901,10.694115,9.400625
902,9.669638,9.408476
903,10.202796,9.436086
904,10.638413,9.494404
905,10.400583,9.554518
906,9.987439,9.52075
907,9.547949,9.488817
908,8.138742,9.407268
909,8.966774,9.330624
910,8.233129,9.243098
911,7.423295,9.122224
912,7.615754,9.034532
913,6.733119,8.93715
914,6.024131,8.844338
915,5.804251,8.757509
916,5.837165,8.666532
917,4.358492,8.515096
918,3.320579,8.335092
919,3.515374,8.151926
920,3.431684,7.993873
921,4.311276,7.817343
922,4.448784,7.644593
923,4.76751,7.440817
924,5.434167,7.229
925,4.630576,6.965429
926,5.329282,6.750836
927,5.583211,6.587379
928,5.031449,6.380525
929,4.957913,6.153305
930,5.058015,5.939602
931,5.432947,5.757423
932,5.52107,5.596348
933,5.489121,5.490363
934,5.266794,5.342364
935,5.997261,5.252929
936,6.567576,5.2187
937,7.053575,5.196213
938,6.855782,5.201119
939,7.017513,5.240855
940,5.746963,5.238563
941,5.799354,5.237051
942,5.129289,5.267883
943,5.801367,5.367114
944,5.124621,5.431484
945,5.208824,5.50257
946,5.406342,5.546372
947,3.859659,5.522807
948,4.727509,5.521207
949,4.720279,5.492652
950,4.569617,5.490213
951,3.279597,5.408226
952,3.668849,5.331651
953,4.496742,5.310263
954,3.882504,5.267247
955,4.132065,5.230209
956,4.861383,5.207346
957,4.494507,5.166284
958,3.697007,5.094599
959,3.86357,5.03847
960,4.786875,4.990055
961,4.549386,4.909327
962,6.652048,4.893266
963,7.682141,4.92632
964,7.609031,4.949981
965,9.077726,5.083212
966,9.292692,5.222945
967,9.001085,5.377817
968,9.144422,5.511539
969,9.595156,5.690361
970,9.370049,5.85681
971,8.455393,5.978772
972,9.527581,6.205489
973,9.508893,6.396744
974,8.882087,6.563216
975,9.116142,6.745077
976,8.437321,6.951386
977,7.371562,7.099495
978,7.911075,7.236068
979,7.920125,7.397573
980,7.665167,7.538897
981,8.30964,7.676827
982,8.132076,7.82233
983,7.453417,7.972586
984,7.608082,8.122367
985,6.604112,8.195056
986,6.799824,8.285074
987,7.480376,8.318207
988,7.139878,8.296517
989,6.61452,8.256736
990,6.536137,8.155073
991,6.770374,8.05418
992,6.076404,7.937193
993,7.166808,7.858088
994,6.388597,7.729826
995,6.856599,7.629288
996,8.070667,7.613899
997,8.656956,7.579074
998,9.101606,7.562782
999,10.328943,7.620656
1000,10.816316,7.688663
1001,9.569258,7.733941
1002,10.061235,7.841528
1003,9.267337,7.895778
1004,9.721707,7.967842
1005,9.668026,8.047956
1006,10.193183,8.123298
1007,10.613824,8.222568
1008,10.071391,8.327287
1009,10.388998,8.438523
1010,11.101977,8.618438
1011,12.308712,8.838793
1012,10.986352,8.979032
1013,10.000564,9.09346
1014,10.143295,9.234611
1015,11.407135,9.429451
1016,10.411755,9.575106
1017,11.509403,9.792426
1018,10.735393,9.935169
